procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12770444  11328  98540    0    0     0     0    4   51  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    1   22  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0    24    2   25  0  0 100  0  0
 0  0      0 12770444  11328  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0    12    5   34  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0  245  524  0  0 100  0  0
 0  0      0 12770444  11336  98540    0    0     0     0  640 1315  0  0 100  0  0
 0  0      0 12770192  11336  98540    0    0     0     0  476  984  0  0 100  0  0
 0  0      0 12769932  11336  98540    0    0     0     0  660 1349  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769932  11344  98532    0    0     0    12    6   35  0  0 100  0  0
 0  0      0 12769932  11344  98540    0    0     0     0 1776 3606  0  1 99  0  0
 0  0      0 12769932  11344  98540    0    0     0     0  819 1676  0  0 100  0  0
 0  0      0 12769932  11344  98540    0    0     0     0  821 1677  0  0 100  0  0
 0  0      0 12769932  11344  98540    0    0     0     0  820 1677  0  0 100  0  0
 0  0      0 12769932  11344  98540    0    0     0     0    3   25  0  0 100  0  0
 0  0      0 12769940  11352  98544    0    0     0    12 1922 3910  0  1 99  0  0
 0  0      0 12769940  11352  98544    0    0     0     0  820 1683  0  0 100  0  0
 0  0      0 12769940  11352  98544    0    0     0     0  821 1681  0  1 99  0  0
 0  0      0 12769940  11352  98544    0    0     0     0  969 1970  0  0 99  0  0
 0  0      0 12769940  11352  98544    0    0     0     0  819 1680  0  1 99  0  0
 0  0      0 12769940  11352  98544    0    0     0     0 2286 4637  0  1 98  0  0
 0  0      0 12769940  11360  98544    0    0     0    16  323  680  0  0 100  0  0
 0  0      0 12769940  11360  98544    0    0     0     0  819 1680  0  0 100  0  0
 0  0      0 12769940  11360  98544    0    0     0     0 1634 3346  0  1 99  0  0
 0  0      0 12769940  11360  98544    0    0     0     0  818 1676  0  0 100  0  0
 0  0      0 12769940  11360  98536    0    0     0     0 1028 2104  0  1 99  0  0
 0  0      0 12769940  11368  98536    0    0     0    48    5   37  0  0 100  0  0
 0  0      0 12769940  11368  98544    0    0     0     0    4   29  0  0 100  0  0
 0  0      0 12769940  11368  98544    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11368  98544    0    0     0     0    2   25  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769940  11368  98544    0    0     0     0    3   24  0  0 100  0  0
 0  0      0 12769940  11368  98544    0    0     0     0    2   24  0  0 100  0  0
 0  0      0 12769940  11376  98536    0    0     0    12    5   30  0  0 100  0  0
 0  0      0 12769940  11376  98536    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11376  98536    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11376  98544    0    0     0     0    5   46  0  0 100  0  0
 0  0      0 12769940  11376  98544    0    0     0    28    3   23  0  0 100  0  0
 0  0      0 12769940  11376  98544    0    0     0     0   58  146  0  0 100  0  0
 0  0      0 12769940  11384  98544    0    0     0    12  193  423  0  0 100  0  0
 0  0      0 12769940  11384  98544    0    0     0     0    2   26  0  0 100  0  0
 0  0      0 12769940  11384  98544    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11384  98544    0    0     0     0    3   30  0  0 100  0  0
 0  0      0 12769940  11384  98544    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0    16    5   32  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11392  98536    0    0     0     0    2   34  0  0 100  0  0
 0  0      0 12769940  11400  98544    0    0     0    12    6   37  0  0 100  0  0
 0  0      0 12769940  11400  98544    0    0     0     0    2   18  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12769940  11400  98544    0    0     0     0    2   25  0  0 100  0  0
 0  0      0 12769940  11400  98544    0    0     0     0    4   24  0  0 100  0  0
 0  0      0 12769940  11400  98544    0    0     0     0    2   20  0  0 100  0  0
 0  0      0 12769940  11400  98544    0    0     0     0    3   32  0  0 100  0  0
 0  0      0 12769940  11408  98544    0    0     0    12    9   46  0  0 100  0  0
 0  0      0 12769940  11408  98544    0    0     0     0    2   22  0  0 100  0  0
 0  0      0 12769940  11408  98544    0    0     0     8    2   22  0  0 100  0  0
